開放粵語字典（粵拼版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵拼］
婉	婉	jyun2
琬	琬	jyun2
宛	宛	jyun2
怨	怨	jyun3
懸	悬	jyun4
完	完	jyun4
袁	袁	jyun4
原	原	jyun4
沅	沅	jyun4
沿	沿	jyun4
烷	烷	jyun4
鉛	铅	jyun4
園	园	jyun4
源	源	jyun4
芫	芫	jyun4
玄	玄	jyun4
員	员	jyun4
元	元	jyun4
紈	纨	jyun4
眩	眩	jyun4
猿	猿	jyun4
圓	圆	jyun4
轅	辕	jyun4
緣	缘	jyun4
丸	丸	jyun4/jyun2
遠	远	jyun5
軟	软	jyun5
阮	阮	jyun5
媛	媛	jyun6
院	院	jyun6
願	愿	jyun6
縣	县	jyun6
炫	炫	jyun6/jyun4
遠	远	jyun6/jyun5
越	越	jyut6
穴	穴	jyut6
釔	钇	jyut6
鉞	钺	jyut6
曰	曰	jyut6
月	月	jyut6
粵	粤	jyut6
悅	悦	jyut6
閱	阅	jyut6
乙	乙	jyut6/jyut3
喀	喀	kaa1
卡	卡	kaa1
卡	卡	kaa2
髂	髂	kaa3
蒈	蒈	kaai2
楷	楷	kaai2
鍇	锴	kaai2/gaai1
揢	揢	kaak3
咯	咯	kaak3
靠	靠	kaau3
銬	铐	kaau3
蹊	蹊	kai1
溪	溪	kai1
稽	稽	kai1
嵇	嵇	kai1/hai4
啟	启	kai2
契	契	kai3
襟	襟	kam1
擒	擒	kam4
噙	噙	kam4
琴	琴	kam4
禽	禽	kam4
妗	妗	kam5
勤	勤	kan4
芹	芹	kan4
近	近	kan5
給	给	kap1
級	级	kap1
笈	笈	kap1
汲	汲	kap1
吸	吸	kap1
歙	歙	kap1
岌	岌	kap1
及	及	kap6
芨	芨	kap6/gap1
咳	咳	kat1
卡	卡	kat1
摳	抠	kau1
篝	篝	kau1/gau1
溝	沟	kau1/gau1
叩	叩	kau3
扣	扣	kau3
蔻	蔻	kau3
釦	扣	kau3
寇	寇	kau3
購	购	kau3/gau3
媾	媾	kau3/gau3
構	构	kau3/gau3
逑	逑	kau4
犰	犰	kau4
虯	虬	kau4
仇	仇	kau4
求	求	kau4
球	球	kau4
毬	毬	kau4
裘	裘	kau4
舅	舅	kau5/kau3
臼	臼	kau5/kau3
茄	茄	ke2
瘸	瘸	ke4
騎	骑	ke4
蹊	蹊	kei1
崎	崎	kei1
冀	冀	kei3
驥	骥	kei3
暨	暨	kei3
蘄	蕲	kei4
歧	歧	kei4
期	期	kei4
麒	麒	kei4
萁	萁	kei4
祁	祁	kei4
耆	耆	kei4
鰭	鳍	kei4
俟	俟	kei4
旗	旗	kei4
奇	奇	kei4
岐	岐	kei4
其	其	kei4
琪	琪	kei4
旂	旂	kei4
琦	琦	kei4
祺	祺	kei4
淇	淇	kei4
祈	祈	kei4
棋	棋	kei4
企	企	kei5
屐	屐	kek6
劇	剧	kek6
嶇	岖	keoi1
駒	驹	keoi1
拘	拘	keoi1
祛	祛	keoi1
俱	俱	keoi1
區	区	keoi1
驅	驱	keoi1
軀	躯	keoi1
璩	璩	keoi4
衢	衢	keoi4
瞿	瞿	keoi4
蠼	蠼	keoi4
渠	渠	keoi4
朐	朐	keoi4
距	距	keoi5
拒	拒	keoi5
鉗	钳	kim4
黔	黔	kim4
乾	乾	kin4
掮	掮	kin4
犍	犍	kin4
虔	虔	kin4
傾	倾	king1
頃	顷	king2
黥	黥	king4
瓊	琼	king4
擎	擎	king4
鯨	鲸	king4
詰	诘	kit3
孑	孑	kit3
揭	揭	kit3
黠	黠	kit3
羯	羯	kit3
頡	颉	kit3
鍥	锲	kit3
竭	竭	kit3
擷	撷	kit3/git3
蹺	跷	kiu1/hiu1
翹	翘	kiu3/hiu3
翹	翘	kiu4
蕎	荞	kiu4
橋	桥	kiu4
喬	乔	kiu4
僑	侨	kiu4
蹺	跷	kiu5
卻	却	koek3
噱	噱	koek6
強	强	koeng4
強	强	koeng5
羥	羟	koeng5
欬	欬	koi3
鈣	钙	koi3
愾	忾	koi3
概	概	koi3
蓋	盖	koi3
慨	慨	koi3
丐	丐	koi3
溉	溉	koi3
壑	壑	kok3
恪	恪	kok3
慤	悫	kok3
涸	涸	kok3
確	确	kok3
郝	郝	kok3
榷	榷	kok3
扛	扛	kong1
亢	亢	kong3
閌	闶	kong3
抗	抗	kong3
炕	炕	kong3
伉	伉	kong3
擴	扩	kong3
箍	箍	ku1
澮	浍	kui2
鱠	鲙	kui2
膾	脍	kui2
檜	桧	kui2
儈	侩	kui2
鄶	郐	kui2
劊	刽	kui2
繪	绘	kui2
潰	溃	kui2
獪	狯	kui2
聵	聩	kui2
賄	贿	kui2
會	会	kui2/wui6
曲	曲	kuk1
麴	曲	kuk1
穹	穹	kung4
窮	穷	kung4
邛	邛	kung4
蛞	蛞	kut3
豁	豁	kut3
聒	聒	kut3
括	括	kut3
垮	垮	kwaa1
誇	夸	kwaa1
夸	夸	kwaa1
侉	侉	kwaa2
跨	跨	kwaa3
胯	胯	kwaa3
挎	挎	kwaa3
框	框	kwaang1/hong1
逛	逛	kwaang3
盔	盔	kwai1
虧	亏	kwai1
規	规	kwai1
巋	岿	kwai1
窺	窥	kwai1
馗	馗	kwai4
夔	夔	kwai4
暌	暌	kwai4
喹	喹	kwai4
葵	葵	kwai4
睽	睽	kwai4
攜	携	kwai4
畦	畦	kwai4
揆	揆	kwai4/kwai5
愧	愧	kwai5
髡	髡	kwan1
坤	坤	kwan1
昆	昆	kwan1
崑	昆	kwan1
焜	焜	kwan1/wan6
捆	捆	kwan2
菌	菌	kwan2
睏	困	kwan3
窘	窘	kwan3
困	困	kwan3
群	群	kwan4
裙	裙	kwan4
擴	扩	kwok3
曠	旷	kwong3
礦	矿	kwong3/kong3
鄺	邝	kwong3/kong3
狂	狂	kwong4
拳	拳	kyun4
權	权	kyun4
顴	颧	kyun4
鬈	鬈	kyun4
蜷	蜷	kyun4
撅	撅	kyut3
蹶	蹶	kyut3
抉	抉	kyut3
孓	孓	kyut3
蕨	蕨	kyut3
闕	阙	kyut3
獗	獗	kyut3
決	决	kyut3
訣	诀	kyut3
缺	缺	kyut3
厥	厥	kyut3
橛	橛	kyut3/gyut6
喇	喇	laa1
拉	拉	laa1
啦	啦	laa1
喇	喇	laa3
拉	拉	laai1
癩	癞	laai3
落	落	laai6
籟	籁	laai6
賴	赖	laai6
襤	褴	laam4
嵐	岚	laam4
籃	篮	laam4
婪	婪	laam4
藍	蓝	laam4
覽	览	laam5
攬	揽	laam5
欖	榄	laam5
纜	缆	laam6
濫	滥	laam6
艦	舰	laam6
蘭	兰	laan4
斕	斓	laan4
攔	拦	laan4
襴	襕	laan4
瀾	澜	laan4
闌	阑	laan4
欄	栏	laan4
懶	懒	laan5
爛	烂	laan6
冷	冷	laang5
臘	腊	laap6
蠟	蜡	laap6
垃	垃	laap6
砬	砬	laap6
立	立	laap6
邋	邋	laap6/laat6
拉	拉	laat6
辣	辣	laat6
藜	藜	lai4
犂	犂	lai4
犁	犁	lai4
黎	黎	lai4
蠡	蠡	lai4/lai5
鱧	鳢	lai5
禮	礼	lai5
澧	澧	lai5
醴	醴	lai5
勵	励	lai6
礪	砺	lai6
荔	荔	lai6
麗	丽	lai6
儷	俪	lai6
蠣	蛎	lai6
例	例	lai6
厲	厉	lai6
勒	勒	lak6/laak6
鰳	鳓	lak6/laak6
肋	肋	lak6/laak6
霖	霖	lam4
林	林	lam4
琳	琳	lam4
淋	淋	lam4
啉	啉	lam4
臨	临	lam4
凜	凛	lam5
懍	懔	lam5
笠	笠	lap1
甩	甩	lat1
嘍	喽	lau1
摟	搂	lau2
流	流	lau4
騮	骝	lau4
僂	偻	lau4
硫	硫	lau4
留	留	lau4
瘤	瘤	lau4
瀏	浏	lau4
榴	榴	lau4
婁	娄	lau4
樓	楼	lau4
琉	琉	lau4
撈	捞	lau4
劉	刘	lau4
螻	螻	lau4
髏	髅	lau4
簍	篓	lau5
柳	柳	lau5
漏	漏	lau6
鏤	镂	lau6
遛	遛	lau6
餾	馏	lau6
溜	溜	lau6
陋	陋	lau6
蹓	蹓	lau6
哩	哩	le1
咧	咧	le1
咧	咧	le2
璃	璃	lei1
喱	喱	lei1
鱺	鲡	lei4
蜊	蜊	lei4
籬	篱	lei4
釐	厘	lei4
漓	漓	lei4
離	离	lei4
縭	缡	lei4
璃	璃	lei4
罹	罹	lei4
狸	狸	lei4
梨	梨	lei4
邐	逦	lei5
鯉	鲤	lei5
鋰	锂	lei5
里	里	lei5
娌	娌	lei5
李	李	lei5
俚	俚	lei5
履	履	lei5
理	理	lei5
哩	哩	lei5/jing1/lei5
吏	吏	lei6
利	利	lei6
俐	俐	lei6
蒞	莅	lei6
莉	莉	lei6
痢	痢	lei6
猁	猁	lei6
靚	靓	leng3
嫘	嫘	leoi4
羸	羸	leoi4
纍	累	leoi4
縲	缧	leoi4
雷	雷	leoi4
櫚	榈	leoi4
鐳	镭	leoi4
驢	驴	leoi4
閭	闾	leoi4
擂	擂	leoi4
騾	骡	leoi4/lo4
膂	膂	leoi5
儡	儡	leoi5
裡	里	leoi5
累	累	leoi5
屢	屡	leoi5
壘	垒	leoi5
旅	旅	leoi5
鋁	铝	leoi5
縷	缕	leoi5
磊	磊	leoi5
呂	吕	leoi5
侶	侣	leoi5
褸	褛	leoi5
蕾	蕾	leoi5/leoi4
累	累	leoi6
淚	泪	leoi6
慮	虑	leoi6
漯	漯	leoi6
濾	滤	leoi6
類	类	leoi6
戾	戾	leoi6
卵	卵	leon2
磷	磷	leon4
鱗	鳞	leon4
璘	璘	leon4
掄	抡	leon4
綸	纶	leon4
鄰	邻	leon4
輪	轮	leon4
圇	囵	leon4
麟	麟	leon4
遴	遴	leon4
崙	仑	leon4
論	论	leon4
粼	粼	leon4
嶙	嶙	leon4
侖	仑	leon4
倫	伦	leon4
淪	沦	leon4
論	论	leon6
吝	吝	leon6
藺	蔺	leon6
躪	躏	leon6
慄	栗	leot6
溧	溧	leot6
篥	篥	leot6
傈	傈	leot6
律	律	leot6
栗	栗	leot6
率	率	leot6
鷸	鹬	leot6
哩	哩	li1
靂	雳	lik1
礫	砾	lik1
櫪	枥	lik1
瀝	沥	lik1/lik6
歷	历	lik6
曆	历	lik6
力	力	lik6
令	令	lim1
廉	廉	lim4
帘	帘	lim4
簾	帘	lim4
鐮	镰	lim4
臉	脸	lim5
殮	殓	lim5
斂	敛	lim6
襝	裣	lim6
憐	怜	lin4
蓮	莲	lin4
連	连	lin4
漣	涟	lin4
鏈	链	lin4
攆	撵	lin5
輦	辇	lin5
煉	炼	lin6
練	练	lin6
陵	陵	ling4
稜	棱	ling4
羚	羚	ling4
蛉	蛉	ling4
令	令	ling4
綾	绫	ling4
聆	聆	ling4
齡	龄	ling4
凌	凌	ling4
囹	囹	ling4
玲	玲	ling4
苓	苓	ling4
靈	灵	ling4
鈴	铃	ling4
呤	呤	ling4
櫺	櫺	ling4
翎	翎	ling4
菱	菱	ling4
零	零	ling4
伶	伶	ling4
鯪	鲮	ling4
領	领	ling5/leng5
嶺	岭	ling5/leng5
令	令	ling6
愣	愣	ling6
另	另	ling6
鬣	鬣	lip6
獵	猎	lip6
裂	裂	lit6
烈	烈	lit6
列	列	lit6
捩	捩	lit6
冽	冽	lit6
撩	撩	liu1
溜	溜	liu1
撂	撂	liu1
聊	聊	liu4
繚	缭	liu4
遼	辽	liu4
寥	寥	liu4
嘹	嘹	liu4
療	疗	liu4
撩	撩	liu4
僚	僚	liu4
鐐	镣	liu4
瞭	瞭	liu4
寮	寮	liu4
獠	獠	liu4
燎	燎	liu4
了	了	liu5
瞭	了	liu5
潦	潦	liu5/liu2
廖	廖	liu6
料	料	liu6
尥	尥	liu6
囉	囉	lo1
咯	咯	lo1
旯	旯	lo1/lok3
裸	裸	lo2
玀	猡	lo4
籮	箩	lo4
蘿	萝	lo4
邏	逻	lo4
羅	罗	lo4
鑼	锣	lo4
螺	螺	lo4/lo2
掠	掠	loek6
略	略	loek6
兩	两	loeng2
粱	粱	loeng4
糧	粮	loeng4
涼	凉	loeng4
量	量	loeng4
良	良	loeng4
梁	梁	loeng4
莨	莨	loeng4
倆	俩	loeng5
兩	两	loeng5
魎	魉	loeng5
量	量	loeng6
踉	踉	loeng6
諒	谅	loeng6
亮	亮	loeng6
輛	辆	loeng6
淶	涞	loi4
崍	崃	loi4
來	来	loi4
萊	莱	loi4
徠	徕	loi4
睞	睐	loi6
賚	赉	loi6
耒	耒	loi6/leoi6
餎	饹	lok3
鉻	铬	lok3
烙	烙	lok3
珞	珞	lok3
絡	络	lok3
酪	酪	lok3
洛	洛	lok3/lok6
駱	骆	lok3/lok6
樂	乐	lok6
落	落	lok6
啷	啷	long1
郎	郎	long2
瑯	琅	long4
榔	榔	long4
鋃	锒	long4
螂	螂	long4
廊	廊	long4
郎	郎	long4
狼	狼	long4
莨	莨	long4
朗	朗	long5
蒗	蒗	long6
浪	浪	long6
晾	晾	long6
閬	阆	long6/long4
撈	捞	lou1
嚕	噜	lou1
佬	佬	lou2
臚	胪	lou4
鱸	鲈	lou4
瀘	泸	lou4
醪	醪	lou4
轤	轳	lou4
蘆	芦	lou4
嘮	唠	lou4
癆	痨	lou4
顱	颅	lou4
盧	卢	lou4
爐	炉	lou4
廬	庐	lou4
勞	劳	lou4
牢	牢	lou4
櫓	橹	lou5
擄	掳	lou5
魯	鲁	lou5
鹵	卤	lou5
虜	虏	lou5
滷	卤	lou5
老	老	lou5
姥	姥	lou5
璐	璐	lou6
勞	劳	lou6
賂	赂	lou6
輅	辂	lou6
鷺	鹭	lou6
嫪	嫪	lou6
露	露	lou6
澇	涝	lou6
路	路	lou6
潞	潞	lou6
麓	麓	luk1
轆	辘	luk1
碌	碌	luk1
碌	碌	luk6
錄	录	luk6
陸	陆	luk6
綠	绿	luk6
鹿	鹿	luk6
漉	漉	luk6
祿	禄	luk6
六	六	luk6
氯	氯	luk6
戮	戮	luk6
蘢	茏	lung4
聾	聋	lung4
嚨	咙	lung4
窿	窿	lung4
曨	昽	lung4
瓏	珑	lung4
矓	眬	lung4
隆	隆	lung4
籠	笼	lung4
龍	龙	lung4
朧	胧	lung4
攏	拢	lung5
籠	笼	lung5
隴	陇	lung5
壟	垄	lung5
弄	弄	lung6
戀	恋	lyun2
臠	脔	lyun2/lyun4
鸞	鸾	lyun4
聯	联	lyun4
攣	挛	lyun4
巒	峦	lyun4
灤	滦	lyun4
欒	栾	lyun4
孿	孪	lyun4
亂	乱	lyun6
捋	捋	lyut3
劣	劣	lyut3/lyut6
媽	妈	maa1
嬤	嬷	maa1
嗎	吗	maa1/maa3
嘛	嘛	maa3
蟆	蟆	maa4
痲	麻	maa4
麻	麻	maa4
獁	犸	maa5
碼	码	maa5
瑪	玛	maa5
螞	蚂	maa5
馬	马	maa5
罵	骂	maa6
埋	埋	maai4
霾	霾	maai4/mai4
蕒	荬	maai5
買	买	maai5
邁	迈	maai6
賣	卖	maai6
擘	擘	maak3
饅	馒	maan4
蠻	蛮	maan4
蔓	蔓	maan4
鰻	鳗	maan4
謾	谩	maan4
晚	晚	maan5
墁	墁	maan6
蔓	蔓	maan6
縵	缦	maan6
熳	熳	maan6
鏝	镘	maan6
嫚	嫚	maan6
幔	幔	maan6
謾	谩	maan6
曼	曼	maan6
漫	漫	maan6
慢	慢	maan6
萬	万	maan6
繃	绷	maang1
盲	盲	maang4
蜢	蜢	maang5
猛	猛	maang5
錳	锰	maang5
勐	勐	maang5
孟	孟	maang6
貓	猫	maau1
矛	矛	maau4
茅	茅	maau4
卯	卯	maau5
鉚	铆	maau5
貌	貌	maau6
懋	懋	maau6
袤	袤	maau6
咪	咪	mai1/mei1
醚	醚	mai4
瞇	眯	mai4
迷	迷	mai4
謎	谜	mai4
米	米	mai5
袂	袂	mai6
万	万	mak6
墨	墨	mak6
陌	陌	mak6
貘	貘	mak6
驀	蓦	mak6
脈	脉	mak6
麥	麦	mak6
默	默	mak6
蚊	蚊	man1
岷	岷	man4
緡	缗	man4
苠	苠	man4
珉	珉	man4
忞	忞	man4
旻	旻	man4
文	文	man4
民	民	man4
聞	闻	man4
氓	氓	man4
玟	玟	man4
紋	纹	man4
雯	雯	man4
吻	吻	man5
閔	闵	man5
黽	黾	man5
鰵	鳘	man5
湣	湣	man5
澠	渑	man5
泯	泯	man5
敏	敏	man5
抿	抿	man5
憫	悯	man5
刎	刎	man5
閩	闽	man5
愍	愍	man5
汶	汶	man6
問	问	man6
紊	紊	man6
萌	萌	mang4
盟	盟	mang4
勿	勿	mat6
宓	宓	mat6
謐	谧	mat6
襪	袜	mat6
密	密	mat6
蜜	蜜	mat6
嘧	嘧	mat6
物	物	mat6
哞	哞	mau1
牟	牟	mau4
眸	眸	mau4
謀	谋	mau4
繆	缪	mau4
牡	牡	mau5
某	某	mau5
畝	亩	mau5
貿	贸	mau6
謬	谬	mau6
茂	茂	mau6
哶	哶	me1
湄	湄	mei4
薇	薇	mei4
麋	麋	mei4
眉	眉	mei4
蘼	蘼	mei4
靡	靡	mei4
微	微	mei4
嵋	嵋	mei4
楣	楣	mei4
瀰	弥	mei4/nei4
獼	猕	mei4/nei4
鎂	镁	mei5
美	美	mei5
娓	娓	mei5
尾	尾	mei5
媺	媺	mei5
魅	魅	mei6
媚	媚	mei6
寐	寐	mei6
未	未	mei6
味	味	mei6
命	命	meng6
汨	汨	mik6
覓	觅	mik6
冪	幂	mik6
鼏	鼏	mik6
綿	绵	min4
眠	眠	min4
棉	棉	min4
娩	娩	min5
冕	冕	min5
緬	缅	min5
靦	腼	min5
勉	勉	min5
免	免	min5
面	面	min6
麵	面	min6
明	明	ming4
溟	溟	ming4
螟	螟	ming4
冥	冥	ming4
名	名	ming4
鳴	鸣	ming4
洺	洺	ming4
銘	铭	ming4/ming5
瞑	瞑	ming4/ming5
暝	暝	ming4/ming6
酩	酩	ming5
皿	皿	ming5
茗	茗	ming5/ming4
命	命	ming6
衊	蔑	mit6
篾	篾	mit6
蔑	蔑	mit6
滅	灭	mit6
喵	喵	miu1
瞄	瞄	miu4
苗	苗	miu4
描	描	miu4
杳	杳	miu5
藐	藐	miu5
渺	渺	miu5
邈	邈	miu5
秒	秒	miu5
緲	缈	miu5
淼	淼	miu5
廟	庙	miu6
妙	妙	miu6
魔	魔	mo1
麼	么	mo1
摩	摩	mo1
摸	摸	mo2
磨	磨	mo4
饃	馍	mo4
蘑	蘑	mo4
剝	剥	mok1
漠	漠	mok6
膜	膜	mok6
幕	幕	mok6
寞	寞	mok6
莫	莫	mok6
芒	芒	mong4
忙	忙	mong4
虻	虻	mong4
忘	忘	mong4
茫	茫	mong4
莽	莽	mong4
鋩	铓	mong4
亡	亡	mong4
氓	氓	mong4
網	网	mong5
惘	惘	mong5
妄	妄	mong5
蟒	蟒	mong5
罔	罔	mong5
魍	魍	mong5
輞	辋	mong5
望	望	mong6
巫	巫	mou4
毛	毛	mou4
無	无	mou4
蕪	芜	mou4
毋	毋	mou4
誣	诬	mou4
膜	膜	mou4
髦	髦	mou4
摹	摹	mou4
謨	谟	mou4
模	模	mou4
氂	牦	mou4/lei4
侮	侮	mou5
嫵	妩	mou5
舞	舞	mou5
拇	拇	mou5
鵡	鹉	mou5
母	母	mou5
姆	姆	mou5
武	武	mou5
務	务	mou6
墓	墓	mou6
鶩	鹜	mou6
耄	耄	mou6
戊	戊	mou6
婺	婺	mou6
暮	暮	mou6
瑁	瑁	mou6
霧	雾	mou6
騖	骛	mou6
慕	慕	mou6
募	募	mou6
冒	冒	mou6
帽	帽	mou6
莓	莓	mui4
霉	霉	mui4
酶	酶	mui4
玫	玫	mui4
煤	煤	mui4
媒	媒	mui4
梅	梅	mui4
枚	枚	mui4
每	每	mui5
妹	妹	mui6
昧	昧	mui6
穆	穆	muk6
仫	仫	muk6
目	目	muk6
苜	苜	muk6
沐	沐	muk6
睦	睦	muk6
鉬	钼	muk6
牧	牧	muk6
木	木	muk6
門	门	mun4
們	们	mun4
捫	扪	mun4
鞔	鞔	mun4
瞞	瞒	mun4
滿	满	mun5
蟎	螨	mun5
悶	闷	mun6
燜	焖	mun6
濛	蒙	mung4
朦	朦	mung4
蒙	蒙	mung4
檬	檬	mung4
曚	曚	mung4
矇	蒙	mung4
蠓	蠓	mung5
懵	懵	mung5/mung2
夢	梦	mung6
沫	沫	mut3
抹	抹	mut3/maat3
茉	茉	mut6
靺	靺	mut6
歿	殁	mut6
末	末	mut6
沒	没	mut6
哪	哪	naa1
拿	拿	naa4
南	南	naa4
哪	哪	naa4
娜	娜	naa4
哪	哪	naa5
那	那	naa5
乃	乃	naai5
鼐	鼐	naai5
奶	奶	naai5
氖	氖	naai5
男	男	naam4
喃	喃	naam4
楠	楠	naam4
南	南	naam4
囡	囡	naam4
腩	腩	naam5
難	难	naan4
赧	赧	naan5
難	难	naan6
鈉	钠	naap6
吶	呐	naap6
納	纳	naap6
衲	衲	naap6
捺	捺	naat6
孬	孬	naau1
撓	挠	naau4
猱	猱	naau4
錨	锚	naau4
鐃	铙	naau4
橈	桡	naau4
淖	淖	naau6
鬧	闹	naau6
泥	泥	nai4
呢	呢	nai4/nei4
稔	稔	nam5
能	能	nang4
粒	粒	nap1/lap1
朽	朽	nau2
鈕	钮	nau2
扭	扭	nau2
狃	狃	nau2
妞	妞	nau2
紐	纽	nau2
呢	呢	ne1
尼	尼	nei4
彌	弥	nei4
妮	妮	nei4
怩	怩	nei4
鈮	铌	nei4
旎	旎	nei5
您	您	nei5
你	你	nei5
妳	你	nei5
膩	腻	nei6
餌	饵	nei6
釹	钕	neoi5
餒	馁	neoi5
女	女	neoi5/leoi5
訥	讷	neot6/naap6
嗯	嗯	ng2
吳	吴	ng4
梧	梧	ng4
吾	吾	ng4
蜈	蜈	ng4
鼯	鼯	ng4
五	五	ng5
伍	伍	ng5
午	午	ng5
牾	牾	ng5
忤	忤	ng5
焐	焐	ng6
晤	晤	ng6
誤	误	ng6
摀	捂	ng6
悟	悟	ng6
嗯	嗯	ng6
衙	衙	ngaa4
芽	芽	ngaa4
牙	牙	ngaa4
雅	雅	ngaa5
瓦	瓦	ngaa5
佤	佤	ngaa5
訝	讶	ngaa6
捱	挨	ngaai4
涯	涯	ngaai4
睚	睚	ngaai4
厓	厓	ngaai4
崖	崖	ngaai4
刈	刈	ngaai6
艾	艾	ngaai6
砹	砹	ngaai6
額	额	ngaak6
癌	癌	ngaam4
岩	岩	ngaam4
顏	颜	ngaan4
眼	眼	ngaan5
雁	雁	ngaan6
贗	赝	ngaan6
硬	硬	ngaang6
餚	肴	ngaau4
淆	淆	ngaau4
爻	爻	ngaau4
咬	咬	ngaau5
霓	霓	ngai4
危	危	ngai4
巍	巍	ngai4
猊	猊	ngai4
倪	倪	ngai4
蟻	蚁	ngai5
毅	毅	ngai6
囈	呓	ngai6
藝	艺	ngai6
魏	魏	ngai6
羿	羿	ngai6
偽	伪	ngai6
睨	睨	ngai6
詣	诣	ngai6
銀	银	ngan4
垠	垠	ngan4
齦	龈	ngan4
沂	沂	ngan4
齗	龂	ngan4
圪	圪	ngat6
杌	杌	ngat6
屹	屹	ngat6
迄	迄	ngat6
兀	兀	ngat6
勾	勾	ngau1
牛	牛	ngau4
藕	藕	ngau5
偶	偶	ngau5
齧	啮	ngit6/ngaat6
娥	娥	ngo4
哦	哦	ngo4
莪	莪	ngo4
蛾	蛾	ngo4
鵝	鹅	ngo4
訛	讹	ngo4
俄	俄	ngo4
峨	峨	ngo4
我	我	ngo5
臥	卧	ngo6
餓	饿	ngo6
呆	呆	ngoi4
礙	碍	ngoi6
外	外	ngoi6
鄂	鄂	ngok6
樂	乐	ngok6
鱷	鳄	ngok6
顎	颚	ngok6
噩	噩	ngok6
嶽	岳	ngok6
愕	愕	ngok6
岳	岳	ngok6
岸	岸	ngon6
犴	犴	ngon6
骯	肮	ngong1/ngong3
盎	盎	ngong3/ngong2
昂	昂	ngong4
澳	澳	ngou3
懊	懊	ngou3
奧	奥	ngou3
襖	袄	ngou3/ngou2
螯	螯	ngou4
翱	翱	ngou4
鰲	鳌	ngou4
敖	敖	ngou4
獒	獒	ngou4
驁	骜	ngou4
熬	熬	ngou4/ngau4
遨	遨	ngou4/ngou6
傲	傲	ngou6
暱	昵	nik1
匿	匿	nik1
溺	溺	nik1/nik6
拈	拈	nim1
粘	粘	nim1/zim1
黏	黏	nim1/zim1
捻	捻	nim2
鯰	鲇	nim4
唸	念	nim6
念	念	nim6
廿	廿	nim6
年	年	nin4
碾	碾	nin5
寧	宁	ning4
獰	狞	ning4
嚀	咛	ning4
檸	柠	ning4
佞	佞	ning6
濘	泞	ning6
擰	拧	ning6
鎳	镍	nip1
躡	蹑	nip6
顳	颞	nip6
隉	陧	nip6
聶	聂	nip6
捏	捏	nip6
鑷	镊	nip6
涅	涅	nip6
鳥	鸟	niu5
裊	袅	niu5
溺	溺	niu6
尿	尿	niu6
挪	挪	no4
挼	挼	no4
糯	糯	no6
懦	懦	no6
娘	娘	noeng4
耐	耐	noi6
奈	奈	noi6
內	内	noi6
諾	诺	nok6
囔	囔	nong4
饢	馕	nong4
瓤	瓤	nong4
囊	囊	nong4
饢	馕	nong5
齉	齉	nong6
奴	奴	nou4
惱	恼	nou5
腦	脑	nou5
瑙	瑙	nou5
弩	弩	nou5
努	努	nou5/lou5
怒	怒	nou6
忸	忸	nuk6/nau2
膿	脓	nung4
儂	侬	nung4
濃	浓	nung4
農	农	nung4
暖	暖	nyun5
嫩	嫩	nyun6
喔	喔	o1
婀	婀	o1
軻	轲	o1
珂	珂	o1
阿	阿	o1
噢	噢	o1
柯	柯	o1
哦	哦	o4
哦	哦	o6
埃	埃	oi1
哀	哀	oi1
藹	蔼	oi2
毐	毐	oi2
靉	叆	oi2
曖	暧	oi2
璦	瑷	oi3
愛	爱	oi3
堊	垩	ok3
惡	恶	ok3
噁	恶	ok3
桉	桉	on1
氨	氨	on1
鞍	鞍	on1
胺	胺	on1
銨	铵	on1
安	安	on1
案	案	on3
摁	摁	on3
按	按	on3
媼	媪	ou2
趴	趴	paa1
怕	怕	paa3
扒	扒	paa4
爬	爬	paa4
琶	琶	paa4
耙	耙	paa4
杷	杷	paa4
派	派	paai3
哌	哌	paai3
湃	湃	paai3/baai3
俳	俳	paai4
牌	牌	paai4
排	排	paai4
啪	啪	paak1
帕	帕	paak3
柏	柏	paak3
拍	拍	paak3
珀	珀	paak3
魄	魄	paak3
扳	扳	paan1
攀	攀	paan1
盼	盼	paan3
袢	袢	paan3
烹	烹	paang1
澎	澎	paang1
澎	澎	paang4
硼	硼	paang4
膨	膨	paang4
棚	棚	paang4
鵬	鹏	paang4
彭	彭	paang4
棒	棒	paang5
拋	抛	paau1
脬	脬	paau1
泡	泡	paau1
跑	跑	paau2
泡	泡	paau3
炮	炮	paau3
豹	豹	paau3
疱	疱	paau3
麅	狍	paau4
庖	庖	paau4
刨	刨	paau4
咆	咆	paau4
匏	匏	paau4
批	批	pai1
睥	睥	pai5
噴	喷	pan3
頻	频	pan4
顰	颦	pan4
嬪	嫔	pan4
貧	贫	pan4
牝	牝	pan5
朋	朋	pang4
憑	凭	pang4
疋	疋	pat1
匹	匹	pat1
剖	剖	pau2
抔	抔	pau4
紕	纰	pei1
披	披	pei1
丕	丕	pei1
呸	呸	pei1
狉	狉	pei1
仳	仳	pei2
痞	痞	pei2
否	否	pei2
鄙	鄙	pei2
圮	圮	pei2
吡	吡	pei2
屁	屁	pei3
濞	濞	pei3
譬	譬	pei3
媲	媲	pei3/bei2
枇	枇	pei4
皮	皮	pei4
蜱	蜱	pei4
脾	脾	pei4
